fecha,medio,seguidores,texto,URL
"May 21st 2020, 02:17:23.000",biobio,"3,180,306","Con 18.859 muertes ligadas a la pandemia y 291.579 infectados, es el país más afectado de América Latina y el terce… https://t.co/sUHsiHEA7u",https://twitter.com/i/web/status/1263353176583032832
"May 21st 2020, 01:20:00.000",CNNChile,"3,264,196",Chile marca nuevo récord de contagios diarios y se refuerzan las fiscalizaciones en carreteras por el feriado Rev… https://t.co/878XXQ0ERj,https://twitter.com/i/web/status/1263338732603793409
"May 21st 2020, 01:14:28.000",CHVNoticias,"1,111,751",Chile marca nuevo récord de contagios diarios y se refuerzan las fiscalizaciones en carreteras por el feriado… https://t.co/yW6DAY0M3a,https://twitter.com/i/web/status/1263337341952888832
"May 21st 2020, 00:06:56.000",Cooperativa,"2,917,826","Balance de contagios por Covid-19 incorporará nueva categoría de ""caso probable"" #CooperativaEnCasa… https://t.co/ZAxIqMKy8v",https://twitter.com/i/web/status/1263320344569446401
"May 21st 2020, 00:06:05.000",Cooperativa,"2,917,826","Por segunda jornada consecutiva, Chile registró cifras récord de nuevos contagios y fallecidos #CooperativaEnCasa… https://t.co/TtDcXwLnUi",https://twitter.com/i/web/status/1263320131876392961
"May 20th 2020, 23:59:00.000",T13,"3,208,018",[VIDEO] Chile supera los 50 mil contagios: ¿Cómo avanzó el coronavirus en el resto del mundo? https://t.co/chqvEMavbK,https://www.t13.cl/videos/mundo/video-chile-supera-50-mil-contagios-como-avanzo-coronavirus-resto-del-mundo
"May 20th 2020, 23:30:00.000",T13,"3,208,017",[VIDEO] Cifras récord de contagios: Especialistas proponen un mes de cuarentena en Santiago https://t.co/UG54OKn8fP,https://www.t13.cl/videos/nacional/video-cifras-record-contagios-especialistas-proponen-mes-cuarentena-santiago
"May 20th 2020, 23:18:07.000",El_Ciudadano,"401,335",#Venezuela🇻🇪: casos de #COVID-19 alcanzan los 824 tras registrarse 75 nuevos contagios #Coronavirus #Actualidad… https://t.co/hw0hGFdlbq,https://twitter.com/i/web/status/1263308062393356290
"May 20th 2020, 23:06:48.000",T13,"3,207,990",[VIDEO] Desglose de cifras de coronavirus: Contagios superaron los 50 mil https://t.co/3dp29FT0BM,https://www.t13.cl/videos/nacional/video-desglose-cifras-coronavirus-contagios-superaron-50-mil
"May 20th 2020, 22:38:19.000",meganoticiascl,"1,417,246",Hijos contagiados: La lucha de los niños con #coronavirus ➡ https://t.co/jZ4H7zTLGC https://t.co/g1wOAbI8dt,http://bit.ly/2Tp4ZNj
"May 20th 2020, 21:59:14.000",biobio,"3,180,275",#Temuco | El alcalde llamó a la ciudadanía a no relajarse para evitar un alza en los contagios y una eventual nueva… https://t.co/kCSOaKPmOx,https://twitter.com/i/web/status/1263288208244310017
"May 20th 2020, 21:57:32.000",thecliniccl,"1,850,767",Sudamérica acapara la atención mundial por incremento diario de contagios https://t.co/a6MjkJrVqw,https://www.theclinic.cl/2020/05/20/sudamerica-acapara-la-atencion-mundial-por-incremento-diario-de-contagios/
"May 20th 2020, 21:10:54.000",CHVNoticias,"1,111,627",Alerta por aumento de contagios en sector sur de Santiago. Vecinos se ayudan para sobrevivir a la cuarentena.… https://t.co/5RfNWt1NIF,https://twitter.com/i/web/status/1263276044217462786
"May 20th 2020, 20:48:42.000",T13,"3,207,947",Chile supera los 50 mil contagios: ¿Las cifras pueden compararse con la situación en Estados Unidos o Europa? EN V… https://t.co/gXoCSSNDq9,https://twitter.com/i/web/status/1263270459421966338
"May 20th 2020, 20:45:04.000",thecliniccl,"1,850,751",“Casos probables”: Minsal agrega nueva categoría en recuento de contagios por Covid-19 https://t.co/ebDvgeQLvf,http://ow.ly/QkDP30qHUQ4
"May 20th 2020, 20:43:43.000",CHVNoticias,"1,111,609","Record de contagios: 4.038 nuevos casos y 35 muertos en un día. Paula Daza, subsecretaria de Salud, expone y coment… https://t.co/Cjl9BhvxdC",https://twitter.com/i/web/status/1263269203764809729
"May 20th 2020, 20:30:06.000",thecliniccl,"1,850,745",Chile registra sus peores cifras: 35 fallecidos y 4.038 nuevos contagiados en última jornada. https://t.co/pIFwi4xhJP,http://ow.ly/qbYY30qHUQ3
"May 20th 2020, 20:27:00.000",latercera,"1,937,166",🇧🇷 Coronavirus: Brasil es el tercer país con más contagios y representa uno de cada siete nuevos casos… https://t.co/M2J19gGytj,https://twitter.com/i/web/status/1263264996915474432
"May 20th 2020, 20:20:00.000",latercera,"1,937,167",Subsecretario Zúñiga y coronavirus: “Hemos tenido un aumento de contagios en las últimas semanas y eso obviamente a… https://t.co/CRuzehXrAo,https://twitter.com/i/web/status/1263263235228262403
"May 20th 2020, 20:17:43.000",thecliniccl,"1,850,741",Otro récord de contagios diarios de Covid-19 en Argentina con 474 positivos https://t.co/KO5UWgjx64,https://www.theclinic.cl/2020/05/20/otro-record-de-contagios-diarios-de-covid-19-en-argentina-con-474-positivos/
"May 20th 2020, 20:00:00.000",latercera,"1,937,161","El Covid-19 muy lejos de ceder: Minsal reporta 4.038 nuevos contagiados y 35 fallecidos, las mayores cifras desde e… https://t.co/Zd0DrqRm34",https://twitter.com/i/web/status/1263258202705211392
"May 20th 2020, 19:57:46.000",AgriculturaFM,"125,128","Tras el contagio de Monserrat Álvarez, JC Rodríguez reveló el resultado de su examen por coronavirus https://t.co/wRGgM6eEkQ",http://921.cl/2sm4
"May 20th 2020, 19:56:56.000",biobio,"3,180,196",🔶EN DESARROLLO | #PuertoMontt | Los contagios corresponden a dos internos trasladados desde la región Metropolitana… https://t.co/FzxEQCkFon,https://twitter.com/i/web/status/1263257430277980160
"May 20th 2020, 19:08:19.000",lacuarta,"804,827","Chilevisión confirmó el contagio de la conductora, mientras que Julio César dio negativo https://t.co/JAYaQu4Cmd",https://www.lacuarta.com/espectaculos/noticia/monserrat-alvarez-dio-positivo-test-coronavirus/499495/
"May 20th 2020, 18:56:00.000",CHVNoticias,"1,111,525",Ingresó por infarto: Denuncian que mujer de 74 años murió por contagio de COVID-19 en el Hospital San Juan de Dios… https://t.co/qiwzjHFbSe,https://twitter.com/i/web/status/1263242095780864000
"May 20th 2020, 18:32:15.000",Cooperativa,"2,917,731","Por segunda jornada consecutiva, Chile registró cifras récord de nuevos contagios y fallecidos #CooperativaEnCasa… https://t.co/FFBovIFI69",https://twitter.com/i/web/status/1263236118763524098
"May 20th 2020, 18:29:51.000",meganoticiascl,"1,417,088",#Coronavirus: Estudios revelan que monos vacunados o infectados desarrollaron inmunidad ➡ https://t.co/MJepP0vUna https://t.co/UlaBttTWYn,http://bit.ly/3bR2jya
"May 20th 2020, 18:21:02.000",eldesconcierto,"292,994",Países bajos tienen en la mira a exótico animal como el responsable del contagio del coronavirus a la especie human… https://t.co/NbIO2e5aU5,https://twitter.com/i/web/status/1263233298785918978
"May 20th 2020, 18:00:00.000",ElMercurio_cl,"123,680","Tras cifras récord de contagiados y fallecidos, expertos prevén que la cuarentena en Santiago podría durar hasta un… https://t.co/yqlqnCA68R",https://twitter.com/i/web/status/1263228004274180103
"May 20th 2020, 17:34:38.000",eltipografo,"32,916",O’Higgins: Seremi de Salud anuncia aumento de fiscalizaciones con la PDI por alza de contagios por Covid-19… https://t.co/RYZSpXmp2i,https://twitter.com/i/web/status/1263221619163611136
"May 20th 2020, 17:32:29.000",el_dinamo,"485,838",Los efectos de la nueva metodología del Minsal que incluye a casos sospechosos como contagiados de COVID-19 https://t.co/9ZSWlg669b,https://www.eldinamo.cl/nacional/2020/05/20/coronavirus-chile-efectos-de-la-nueva-metodologia-del-minsal-que-incluye-a-casos-sospechosos/
"May 20th 2020, 17:29:00.000",CNNChile,"3,263,987",Perú registra 104.020 contagiados por coronavirus y más de 3 mil fallecidos Sigue el minuto a minuto aquí:… https://t.co/DIsj7F96Eg,https://twitter.com/i/web/status/1263220201484517376
"May 20th 2020, 17:27:10.000",CHVNoticias,"1,111,472",Perú registra 104.020 contagiados por coronavirus y más de 3 mil fallecidos Sigue el minuto a minuto acá:… https://t.co/0ES2avOk3M,https://twitter.com/i/web/status/1263219742770442240
"May 20th 2020, 17:12:47.000",meganoticiascl,"1,417,056",Un visón sería el responsable: Reportan primer caso probable de contagio por #coronavirus de animal a persona ➡… https://t.co/Sv0w2ikJGi,https://twitter.com/i/web/status/1263216120871428097
"May 20th 2020, 17:03:00.000",DiarioConce,"48,286","En adelante se considerará a toda persona que tiene una infección respiratoria como posible caso de covid-19, lo qu… https://t.co/dAYGvvi10R",https://twitter.com/i/web/status/1263213658827563010
"May 20th 2020, 16:58:55.000",nacioncl,"337,053","Perú, el segundo país de América Latina con mayor cifra de personas contagiadas con Covid-19, superó este miércoles… https://t.co/tNSqEjhIEg",https://twitter.com/i/web/status/1263212632250687495
"May 20th 2020, 16:49:45.000",meganoticiascl,"1,417,036",Brote de #coronavirus en construcción de #Concepción: 9 trabajadores contagiados y 250 en cuarentena ➡… https://t.co/IA9jmQLNOv,https://twitter.com/i/web/status/1263210324058165250
"May 20th 2020, 16:14:03.000",ciper,"1,048,026","""Motines y aumento del contagio. Buscando caminos para evitar ambos problemas en las cárceles chilenas"", una column… https://t.co/aYiWkPcCAE",https://twitter.com/i/web/status/1263201341595357185
"May 20th 2020, 16:10:59.000",Cooperativa,"2,917,639",La infectóloga Claudia Cortés conversa con #CooperativaEnCasa https://t.co/9jW1DK27Gn,http://www.cooperativa.cl/noticias/sociedad/salud/coronavirus/gobierno-incluira-nueva-categoria-de-caso-probable-en-recuento-de-contagios-por-covid-19/2020-05-17/214754.html#relato214
"May 20th 2020, 15:57:06.000",biobio,"3,180,082",La familia acusa que la mujer se contagio de coronavirus al interior de un hospital de la región Metropolitana. https://t.co/M1rlMftoGX,https://www.biobiochile.cl/noticias/nacional/region-metropolitana/2020/05/20/la-historia-la-rancaguina-fue-enviada-santiago-problema-al-corazon-murio-covid-19.shtml
"May 20th 2020, 15:27:34.000",latercera,"1,937,124",🔴 Senador Rabindranath Quinteros fue “falso positivo” por coronavirus: segundo test determinó que no tuvo contagio… https://t.co/RJQTKEEMBA,https://twitter.com/i/web/status/1263189642809147393
"May 20th 2020, 15:22:48.000",biobio,"3,180,058","#Valparaíso | Con estos nuevos casos, ya se superó las 1.700 personas contagiadas. https://t.co/TCuOq4qhvy",https://www.biobiochile.cl/noticias/nacional/region-de-valparaiso/2020/05/20/region-valparaiso-alcanza-rompe-record-diario-covid-19-131-nuevos-casos-ultimo-reporte.shtml
"May 20th 2020, 15:18:03.000",RedMiVoz,"66,944",Osorno sumó un nuevo caso de coronavirus: Coumuna registra más de 300 contagios a la fecha https://t.co/oTjIvZTGkH https://t.co/7wBXuBGoBP,http://dlvr.it/RX2fB4
"May 20th 2020, 15:15:07.000",thecliniccl,"1,850,675",Chile registra sus peores cifras: 35 fallecidos y 4.038 nuevos contagiados en última jornada https://t.co/2bWANO28e7,https://www.theclinic.cl/2020/05/20/chile-registra-sus-peores-cifras-35-fallecidos-y-4-038-nuevos-contagiados-en-ultima-jornada/
"May 20th 2020, 15:00:01.000",latercera,"1,937,117","🏥 Contrarreloj: las medidas posibles el alza de contagios y fallecidos. Altas precoces en unidades críticas, aument… https://t.co/17fcG8kgjf",https://twitter.com/i/web/status/1263182708475338753
